6, 1
6, 16
12, 2
1, 15
6, 0
8, 6
2, 2
18, 6
0, 10
14, 19
15, 15
12, 9
13, 18
14, 14
14, 15
0, 12
14, 16
13, 13
13, 14
0, 11
13, 9
15, 14
12, 17
13, 15
13, 16
11, 12
13, 17
12, 12
12, 13
15, 16
14, 13
13, 12
14, 17
12, 14
12, 15
13, 8
15, 13
12, 7
12, 16
10, 12
9, 6
10, 13
12, 18
11, 13
9, 8
9, 10
14, 9
16, 14
12, 19
1, 11
15, 17
14, 12
14, 8
16, 13
9, 7
14, 18
11, 14
16, 15
15, 12
10, 6
14, 11
15, 18
11, 15
11, 16
14, 7
16, 12
11, 17
9, 12
9, 13
11, 18
10, 14
0, 9
14, 10
16, 16
11, 9
1, 12
1, 10
16, 17
9, 14
11, 19
8, 7
15, 8
17, 13
16, 18
15, 11
15, 7
17, 12
14, 6
8, 8
13, 19
8, 9
10, 15
17, 14
16, 11
9, 5
15, 10
15, 19
10, 16
8, 10
10, 17
15, 6
17, 11
10, 18
18, 1
10, 19
1, 9
10, 9
12, 6
15, 9
17, 15
17, 16
11, 5
16, 19
7, 5
8, 14
9, 15
0, 8
17, 17
17, 18
13, 5
7, 6
8, 15
7, 7
16, 7
18, 12
17, 19
16, 10
16, 6
18, 11
14, 5
7, 8
7, 9
9, 16
18, 13
17, 10
16, 9
9, 17
7, 10
9, 18
15, 5
18, 10
9, 19
7, 11
9, 9
2, 10
16, 8
18, 14
18, 15
10, 4
16, 5
11, 4
7, 13
18, 16
18, 17
12, 4
7, 15
8, 16
18, 18
18, 19
6, 6
7, 16
6, 7
19, 11
17, 9
17, 5
19, 10
8, 17
19, 12
18, 9
17, 8
8, 18
6, 10
8, 19
19, 9
12, 10
10, 8
0, 14
11, 6
1, 8
17, 7
19, 13
19, 14
2, 9
19, 15
19, 16
6, 14
19, 17
19, 18
7, 17
19, 19
6, 17
5, 8
18, 8
5, 10
7, 18
19, 8
18, 7
7, 19
5, 11
14, 3
13, 11
10, 5
10, 7
2, 11
17, 4
4, 1
5, 13
4, 2
5, 17
6, 18
4, 7
5, 18
19, 7
6, 19
11, 8
13, 10
2, 13
3, 10
2, 8
9, 1
3, 0
11, 1
3, 1
4, 15
4, 16
4, 17
4, 18
5, 19
3, 6
4, 19
3, 7
4, 0
12, 11
5, 0
3, 3
3, 5
3, 14
2, 0
3, 15
2, 1
3, 16
13, 0
14, 0
3, 17
3, 18
3, 19
2, 5
2, 6
2, 7
0, 15
8, 0
18, 0
19, 1
19, 0
1, 0
2, 16
1, 1
2, 17
1, 2
2, 18
2, 19
1, 4
1, 5
10, 10
18, 4
0, 7
12, 1
1, 3
1, 6
1, 7
0, 0
0, 1
1, 16
0, 2
1, 17
1, 18
0, 3
11, 11
11, 7
6, 8
1, 19
0, 4
0, 5
0, 6
0, 16
0, 17
0, 18
0, 19
11, 10
8, 4
6, 9
10, 11
5, 9
4, 14
12, 0
12, 8
9, 11
5, 14
4, 10
9, 0
8, 12
7, 4
16, 4
4, 13
3, 9
10, 0
8, 11
11, 0
17, 2
4, 4
5, 5
4, 11
10, 1
3, 8
13, 7
8, 13
6, 5
17, 0
13, 6
4, 9
7, 3
17, 1
3, 11
12, 5
7, 12
4, 3
4, 8
6, 11
5, 7
5, 1
11, 2
19, 2
15, 4
10, 3
2, 14
6, 12
11, 3
16, 2
5, 4
3, 13
19, 3
6, 4
13, 3
5, 6
6, 3
19, 4
14, 4
10, 2
4, 12
5, 3
4, 6
3, 12
16, 0
9, 2
5, 12
2, 12
4, 5
15, 0
6, 13
16, 3
19, 5
8, 1
3, 4
15, 1
1, 13
8, 2
15, 3
0, 13
7, 14
9, 3
19, 6
17, 3
7, 1
2, 4
13, 1
14, 1
6, 15
18, 5
18, 3
5, 2
1, 14
8, 3
6, 2
14, 2
9, 4
5, 15
3, 2
18, 2
2, 15
12, 3
15, 2
8, 5
17, 6
5, 16
2, 3
7, 0
13, 2
16, 1
7, 2
13, 4
